Iteration,Train_loss,Valid_loss,Current_accuracy,Current_norm_ED
[1377/300000],0.00727,0.00682,100.000,1.00
[1378/300000],0.01583,0.29223,88.722,0.94
[1379/300000],0.13311,0.26418,81.955,0.94
[1380/300000],0.09333,0.01943,98.496,0.99
[1381/300000],0.00999,0.02025,99.248,1.00
[1382/300000],0.01097,0.01046,100.000,1.00
[1383/300000],0.00848,0.00945,100.000,1.00
[1384/300000],0.00843,0.00836,100.000,1.00
[1385/300000],0.00819,0.00721,100.000,1.00
[1386/300000],0.00737,0.00787,100.000,1.00
[1387/300000],0.00689,0.00877,100.000,1.00
[1388/300000],0.00750,0.00782,100.000,1.00
[1389/300000],0.00717,0.00699,100.000,1.00
[1390/300000],0.00716,0.00760,100.000,1.00
[1391/300000],0.00676,0.00704,100.000,1.00
[1392/300000],0.00700,0.00704,100.000,1.00
[1393/300000],0.00697,0.00685,100.000,1.00
[1394/300000],0.00738,0.00731,100.000,1.00
[1395/300000],0.00635,0.00718,100.000,1.00
[1396/300000],0.00769,0.00660,100.000,1.00
[1397/300000],0.00670,0.00701,100.000,1.00
[1398/300000],0.00657,0.00708,100.000,1.00
[1399/300000],0.00625,0.00692,100.000,1.00
[1400/300000],0.00647,0.00684,100.000,1.00
[1401/300000],0.00584,0.00657,100.000,1.00
[1402/300000],0.00616,0.00642,100.000,1.00
[1403/300000],0.00926,0.00658,100.000,1.00
[1404/300000],0.01057,0.01471,99.248,1.00
[1405/300000],0.00689,0.00715,100.000,1.00
[1406/300000],0.00596,0.00642,100.000,1.00
[1407/300000],0.00666,0.00659,100.000,1.00
[1408/300000],0.00657,0.00656,100.000,1.00
[1409/300000],0.00653,0.00652,100.000,1.00
[1410/300000],0.00689,0.00674,100.000,1.00
[1411/300000],0.00626,0.00658,100.000,1.00
[1412/300000],0.00672,0.00638,100.000,1.00
[1413/300000],0.00565,0.00609,100.000,1.00
[1414/300000],0.00664,0.00630,100.000,1.00
[1415/300000],0.00568,0.00599,100.000,1.00
[1416/300000],0.00599,0.00619,100.000,1.00
[1417/300000],0.01491,0.18375,87.970,0.94
[1418/300000],0.01332,0.00656,100.000,1.00
[1419/300000],0.00634,0.00657,100.000,1.00
[1420/300000],0.00538,0.00646,100.000,1.00
[1421/300000],0.00604,0.00709,100.000,1.00
[1422/300000],0.00602,0.00710,100.000,1.00
[1423/300000],0.00584,0.00604,100.000,1.00
[1424/300000],0.00661,0.00605,100.000,1.00
[1425/300000],0.00621,0.00632,100.000,1.00
[1426/300000],0.00608,0.00631,100.000,1.00
[1427/300000],0.00522,0.00575,100.000,1.00
[1428/300000],0.00556,0.00597,100.000,1.00
[1429/300000],0.00592,0.00614,100.000,1.00
[1430/300000],0.00739,0.00618,100.000,1.00
[1431/300000],0.00603,0.00602,100.000,1.00
[1432/300000],0.00573,0.00577,100.000,1.00
[1433/300000],0.00547,0.00585,100.000,1.00
[1434/300000],0.00622,0.00537,100.000,1.00
[1435/300000],0.00585,0.00572,100.000,1.00
[1436/300000],0.00594,0.00556,100.000,1.00
[1437/300000],0.00519,0.00602,100.000,1.00
[1438/300000],0.00610,0.00604,100.000,1.00
[1439/300000],0.00540,0.00562,100.000,1.00
[1440/300000],0.00546,0.00593,100.000,1.00
[1441/300000],0.00534,0.00571,100.000,1.00
[1442/300000],0.00629,0.00593,100.000,1.00
[1443/300000],0.00393,0.00593,100.000,1.00
[1444/300000],0.00608,0.00595,100.000,1.00
[1445/300000],0.00536,0.00580,100.000,1.00
[1446/300000],0.00590,0.00577,100.000,1.00
[1447/300000],0.00564,0.00587,100.000,1.00
[1448/300000],0.00543,0.00623,100.000,1.00
[1449/300000],0.00492,0.00587,100.000,1.00
[1450/300000],0.00541,0.00570,100.000,1.00
[1451/300000],0.00566,0.00554,100.000,1.00
[1452/300000],0.00562,0.00577,100.000,1.00
[1453/300000],0.00557,0.00563,100.000,1.00
[1454/300000],0.00521,0.00553,100.000,1.00
[1455/300000],0.00489,0.00562,100.000,1.00
[1456/300000],0.00702,0.00560,100.000,1.00
[1457/300000],0.00526,0.00561,100.000,1.00
[1458/300000],0.00492,0.00561,100.000,1.00
[1459/300000],0.00548,0.00565,100.000,1.00
[1460/300000],0.00521,0.00520,100.000,1.00
[1461/300000],0.00593,0.00531,100.000,1.00
[1462/300000],0.00546,0.00523,100.000,1.00
[1463/300000],0.00531,0.00547,100.000,1.00
[1464/300000],0.00556,0.00518,100.000,1.00
[1465/300000],0.00448,0.00501,100.000,1.00
[1466/300000],0.00506,0.00530,100.000,1.00
[1467/300000],0.00539,0.00510,100.000,1.00
[1468/300000],0.00546,0.00585,100.000,1.00
[1469/300000],0.00534,0.00503,100.000,1.00
[1470/300000],0.00550,0.00549,100.000,1.00
[1471/300000],0.00497,0.00545,100.000,1.00
[1472/300000],0.00493,0.00508,100.000,1.00
[1473/300000],0.00519,0.00511,100.000,1.00
[1474/300000],0.00507,0.00513,100.000,1.00
[1475/300000],0.00541,0.00506,100.000,1.00
[1476/300000],0.00493,0.00581,100.000,1.00
[1477/300000],0.00482,0.00524,100.000,1.00
[1478/300000],0.00512,0.00539,100.000,1.00
[1479/300000],0.00484,0.00509,100.000,1.00
[1480/300000],0.00485,0.00483,100.000,1.00
[1481/300000],0.00535,0.00514,100.000,1.00
[1482/300000],0.00561,0.00524,100.000,1.00
[1483/300000],0.00542,0.00515,100.000,1.00
[1484/300000],0.00528,0.00509,100.000,1.00
[1485/300000],0.00448,0.00503,100.000,1.00
[1486/300000],0.00398,0.00515,100.000,1.00
[1487/300000],0.00461,0.00528,100.000,1.00
[1488/300000],0.00492,0.00518,100.000,1.00
[1489/300000],0.00530,0.00531,100.000,1.00
[1490/300000],0.00508,0.00461,100.000,1.00
[1491/300000],0.00433,0.00521,100.000,1.00
[1492/300000],0.00534,0.00507,100.000,1.00
[1493/300000],0.00439,0.00555,100.000,1.00
[1494/300000],0.00507,0.00502,100.000,1.00
[1495/300000],0.00519,0.00466,100.000,1.00
[1496/300000],0.00468,0.00495,100.000,1.00
[1497/300000],0.00475,0.00503,100.000,1.00
[1498/300000],0.00463,0.00456,100.000,1.00
[1499/300000],0.00514,0.00492,100.000,1.00
[1500/300000],0.00464,0.00488,100.000,1.00
[1501/300000],0.00406,0.00448,100.000,1.00
[1502/300000],0.00511,0.00484,100.000,1.00
[1503/300000],0.00500,0.00458,100.000,1.00
[1504/300000],0.00469,0.00481,100.000,1.00
[1505/300000],0.00515,0.00476,100.000,1.00
[1506/300000],0.00444,0.00495,100.000,1.00
[1507/300000],0.00411,0.00494,100.000,1.00
[1508/300000],0.01228,0.00693,100.000,1.00
[1509/300000],0.00874,0.00551,100.000,1.00
[1510/300000],0.00659,0.00513,100.000,1.00
[1511/300000],0.00518,0.00476,100.000,1.00
[1512/300000],0.00478,0.00470,100.000,1.00
[1513/300000],0.00494,0.00475,100.000,1.00
[1514/300000],0.00496,0.00480,100.000,1.00
[1515/300000],0.38773,0.16711,93.233,0.98
[1516/300000],0.00524,0.08588,93.233,0.99
[1517/300000],0.04670,0.01327,99.248,1.00
[1518/300000],0.00761,0.03352,98.496,0.99
[1519/300000],0.00786,0.04331,98.496,0.99
[1520/300000],0.00599,0.19013,98.496,0.99
[1521/300000],0.00679,0.05617,98.496,0.99
[1522/300000],0.00623,0.05384,99.248,0.99
[1523/300000],0.00505,0.05469,99.248,0.99
[1524/300000],0.00499,0.05870,99.248,0.99
[1525/300000],0.00479,0.06089,99.248,0.99
[1526/300000],0.00354,0.06213,99.248,0.99
[1527/300000],0.00609,0.08015,99.248,0.99
[1528/300000],0.00525,0.06559,99.248,0.99
[1529/300000],0.00472,0.06187,99.248,0.99
[1530/300000],0.00551,0.07528,99.248,0.99
[1531/300000],0.00514,0.07314,99.248,0.99
[1532/300000],0.00480,0.07468,99.248,0.99
[1533/300000],0.00511,0.08368,99.248,0.99
[1534/300000],0.00458,0.07204,99.248,0.99
[1535/300000],0.00491,0.07860,99.248,0.99
[1536/300000],0.00439,0.06651,99.248,0.99
[1537/300000],0.00435,0.07420,99.248,0.99
[1538/300000],0.00524,0.07157,99.248,0.99
[1539/300000],0.00518,0.07302,99.248,0.99
[1540/300000],0.00425,0.08111,99.248,0.99
[1541/300000],0.00441,0.07974,99.248,0.99
[1542/300000],0.00532,0.07793,99.248,0.99
[1543/300000],0.00464,0.07798,99.248,0.99
[1544/300000],0.00394,0.07744,99.248,0.99
[1545/300000],0.00409,0.43871,99.248,0.99
[1546/300000],0.00533,0.06286,99.248,0.99
[1547/300000],0.00451,0.07490,99.248,0.99
[1548/300000],0.00458,0.07603,99.248,0.99
[1549/300000],0.00432,0.08170,99.248,0.99
[1550/300000],0.00437,0.06557,99.248,0.99
[1551/300000],0.00485,0.06820,99.248,0.99
[1552/300000],0.00372,0.07615,99.248,0.99
[1553/300000],0.00454,0.07366,99.248,0.99
[1554/300000],0.00507,0.07442,99.248,0.99
[1555/300000],0.00440,0.07083,99.248,0.99
[1556/300000],0.00449,0.08900,99.248,0.99
[1557/300000],0.00426,0.07721,99.248,0.99
[1558/300000],0.00459,0.07375,99.248,0.99
[1559/300000],0.00436,0.07314,99.248,0.99
[1560/300000],0.00316,0.06471,99.248,0.99
[1561/300000],0.00435,0.07292,99.248,0.99
[1562/300000],0.00397,0.07290,99.248,0.99
[1563/300000],0.00429,0.06526,99.248,0.99
[1564/300000],0.00426,0.07024,99.248,0.99
[1565/300000],0.00379,0.07370,99.248,0.99
[1566/300000],0.00506,0.07017,99.248,0.99
[1567/300000],0.00453,0.07050,99.248,0.99
[1568/300000],0.00432,0.07700,99.248,0.99
[1569/300000],0.00401,0.08057,99.248,0.99
[1570/300000],0.00364,0.06982,99.248,0.99
[1571/300000],0.00438,0.06912,99.248,0.99
[1572/300000],0.00414,0.06625,99.248,0.99
[1573/300000],0.00417,0.07130,99.248,0.99
[1574/300000],0.00390,0.06834,99.248,0.99
[1575/300000],0.00447,0.07228,99.248,0.99
[1576/300000],0.00401,0.06284,99.248,0.99
[1577/300000],0.00389,0.06857,99.248,0.99
[1578/300000],0.00404,0.07393,99.248,0.99
[1579/300000],0.00400,0.07598,99.248,0.99
[1580/300000],0.00420,0.06420,99.248,0.99
[1581/300000],0.00399,0.06897,99.248,0.99
[1582/300000],0.00406,0.07046,99.248,0.99
[1583/300000],0.00373,0.07230,99.248,0.99
[1584/300000],0.00434,0.07853,99.248,0.99
[1585/300000],0.00433,0.08988,99.248,0.99
[1586/300000],0.00341,0.08133,99.248,0.99
[1587/300000],0.00435,0.30049,99.248,0.99
[1588/300000],0.00408,0.07623,99.248,0.99
[1589/300000],0.00394,0.06776,99.248,0.99
[1590/300000],0.00401,0.06933,99.248,0.99
[1591/300000],0.00434,0.07730,99.248,0.99
[1592/300000],0.00362,0.07400,99.248,0.99
[1593/300000],0.00361,0.08211,99.248,0.99
[1594/300000],0.00367,0.07355,99.248,0.99
[1595/300000],0.00381,0.06898,99.248,0.99
[1596/300000],0.00371,0.06414,99.248,0.99
[1597/300000],0.00402,0.08633,99.248,0.99
[1598/300000],0.00407,0.07304,99.248,0.99
[1599/300000],0.00484,0.07659,99.248,0.99
[1600/300000],0.00361,0.07145,99.248,0.99
[1601/300000],0.00379,0.07376,99.248,0.99
[1602/300000],0.00347,0.07091,99.248,0.99
[1603/300000],0.00346,0.06119,99.248,0.99
[1604/300000],0.00349,0.06447,99.248,0.99
[1605/300000],0.00475,0.00408,100.000,1.00
[1606/300000],0.00381,0.00396,100.000,1.00
[1607/300000],0.00417,0.00404,100.000,1.00
[1608/300000],0.00435,0.00373,100.000,1.00
[1609/300000],0.00376,0.00361,100.000,1.00
[1610/300000],0.00341,0.00404,100.000,1.00
[1611/300000],0.00416,0.00380,100.000,1.00
[1612/300000],0.00327,0.00394,100.000,1.00
[1613/300000],0.00415,0.00389,100.000,1.00
[1614/300000],0.00371,0.00362,100.000,1.00
[1615/300000],0.00367,0.00386,100.000,1.00
[1616/300000],0.00384,0.00379,100.000,1.00
[1617/300000],0.00368,0.00379,100.000,1.00
[1618/300000],0.00357,0.00383,100.000,1.00
[1619/300000],0.00387,0.00376,100.000,1.00
[1620/300000],0.00361,0.00377,100.000,1.00
[1621/300000],0.00358,0.00377,100.000,1.00
[1622/300000],0.00357,0.00357,100.000,1.00
[1623/300000],0.00346,0.00392,100.000,1.00
[1624/300000],0.00364,0.00368,100.000,1.00
[1625/300000],0.00452,0.00359,100.000,1.00
[1626/300000],0.00321,0.00354,100.000,1.00
[1627/300000],0.00357,0.00351,100.000,1.00
[1628/300000],0.00376,0.00369,100.000,1.00
[1629/300000],0.00395,0.00352,100.000,1.00
[1630/300000],0.00373,0.00389,100.000,1.00
[1631/300000],0.00328,0.00355,100.000,1.00
[1632/300000],0.00341,0.00379,100.000,1.00
[1633/300000],0.00363,0.00374,100.000,1.00
[1634/300000],0.00327,0.00343,100.000,1.00
[1635/300000],0.00374,0.00373,100.000,1.00
[1636/300000],0.00361,0.00379,100.000,1.00
[1637/300000],0.00378,0.00373,100.000,1.00
[1638/300000],0.00358,0.00362,100.000,1.00
[1639/300000],0.00313,0.00362,100.000,1.00
[1640/300000],0.00338,0.00360,100.000,1.00
[1641/300000],0.00338,0.00347,100.000,1.00
[1642/300000],0.00375,0.00375,100.000,1.00
[1643/300000],0.00290,0.00399,100.000,1.00
[1644/300000],0.00370,0.00344,100.000,1.00
[1645/300000],0.00365,0.00333,100.000,1.00
[1646/300000],0.00355,0.00358,100.000,1.00
[1647/300000],0.00349,0.00354,100.000,1.00
[1648/300000],0.00344,0.00367,100.000,1.00
[1649/300000],0.00371,0.00357,100.000,1.00
[1650/300000],0.00366,0.00361,100.000,1.00
[1651/300000],0.00323,0.00355,100.000,1.00
[1652/300000],0.00332,0.00357,100.000,1.00
[1653/300000],0.00378,0.00348,100.000,1.00
[1654/300000],0.00382,0.00356,100.000,1.00
[1655/300000],0.00310,0.00362,100.000,1.00
[1656/300000],0.00360,0.00367,100.000,1.00
[1657/300000],0.00342,0.00347,100.000,1.00
[1658/300000],0.00372,0.00354,100.000,1.00
[1659/300000],0.00312,0.00356,100.000,1.00
[1660/300000],0.00393,0.00343,100.000,1.00
[1661/300000],0.00350,0.00357,100.000,1.00
[1662/300000],0.00314,0.00340,100.000,1.00
[1663/300000],0.00290,0.00354,100.000,1.00
[1664/300000],0.00349,0.00359,100.000,1.00
[1665/300000],0.00329,0.00353,100.000,1.00
[1666/300000],0.00376,0.00344,100.000,1.00
[1667/300000],0.00343,0.00337,100.000,1.00
[1668/300000],0.00314,0.00333,100.000,1.00
[1669/300000],0.00334,0.00347,100.000,1.00
[1670/300000],0.00290,0.00332,100.000,1.00
[1671/300000],0.00310,0.00345,100.000,1.00
[1672/300000],0.00363,0.00337,100.000,1.00
[1673/300000],0.00356,0.00354,100.000,1.00
[1674/300000],0.00335,0.00336,100.000,1.00
[1675/300000],0.00328,0.00349,100.000,1.00
[1676/300000],0.00295,0.00351,100.000,1.00
[1677/300000],0.00317,0.00364,100.000,1.00
[1678/300000],0.00303,0.00337,100.000,1.00
[1679/300000],0.00299,0.00369,100.000,1.00
[1680/300000],0.00325,0.00358,100.000,1.00
[1681/300000],0.00299,0.00353,100.000,1.00
[1682/300000],0.00318,0.00334,100.000,1.00
[1683/300000],0.00345,0.00347,100.000,1.00
[1684/300000],0.00385,0.00347,100.000,1.00
[1685/300000],0.00343,0.00311,100.000,1.00
[1686/300000],0.00303,0.00316,100.000,1.00
[1687/300000],0.00322,0.00351,100.000,1.00
[1688/300000],0.00345,0.00335,100.000,1.00
[1689/300000],0.00259,0.00320,100.000,1.00
[1690/300000],0.00300,0.00323,100.000,1.00
[1691/300000],0.00276,0.00349,100.000,1.00
[1692/300000],0.00321,0.00336,100.000,1.00
[1693/300000],0.00311,0.00318,100.000,1.00
[1694/300000],0.00316,0.00338,100.000,1.00
[1695/300000],0.00359,0.00339,100.000,1.00
[1696/300000],0.00295,0.00349,100.000,1.00
[1697/300000],0.00345,0.00335,100.000,1.00
[1698/300000],0.00317,0.00325,100.000,1.00
[1699/300000],0.00310,0.00345,100.000,1.00
[1700/300000],0.00316,0.00337,100.000,1.00
[1701/300000],0.00306,0.00330,100.000,1.00
[1702/300000],0.00303,0.00357,100.000,1.00
[1703/300000],0.00210,0.00342,100.000,1.00
[1704/300000],0.00308,0.00326,100.000,1.00
[1705/300000],0.00278,0.00286,100.000,1.00
[1706/300000],0.00293,0.00306,100.000,1.00
[1707/300000],0.00307,0.00327,100.000,1.00
[1708/300000],0.00372,0.00295,100.000,1.00
[1709/300000],0.00328,0.00317,100.000,1.00
[1710/300000],0.00263,0.00323,100.000,1.00
[1711/300000],0.00315,0.00317,100.000,1.00
[1712/300000],0.00320,0.00305,100.000,1.00
[1713/300000],0.00295,0.00303,100.000,1.00
[1714/300000],0.00305,0.00329,100.000,1.00
[1715/300000],0.00294,0.00333,100.000,1.00
[1716/300000],0.10989,0.02022,99.248,1.00
[1717/300000],0.00355,0.00694,100.000,1.00
[1718/300000],0.00332,0.00451,100.000,1.00
[1719/300000],0.00290,0.00392,100.000,1.00
[1720/300000],0.00372,0.00378,100.000,1.00
[1721/300000],0.00299,0.00339,100.000,1.00
[1722/300000],0.00305,0.00308,100.000,1.00
[1723/300000],0.00278,0.00334,100.000,1.00
[1724/300000],0.00389,0.00347,100.000,1.00
[1725/300000],0.00321,0.00333,100.000,1.00
[1726/300000],0.00327,0.00337,100.000,1.00
[1727/300000],0.00361,0.00324,100.000,1.00
[1728/300000],0.00300,0.00314,100.000,1.00
[1729/300000],0.00325,0.00332,100.000,1.00
[1730/300000],0.00326,0.00305,100.000,1.00
[1731/300000],0.00304,0.00302,100.000,1.00
[1732/300000],0.00302,0.00325,100.000,1.00
[1733/300000],0.00290,0.00306,100.000,1.00
[1734/300000],0.00347,0.00298,100.000,1.00
[1735/300000],0.00311,0.00320,100.000,1.00
[1736/300000],0.00324,0.00301,100.000,1.00
[1737/300000],0.00232,0.00308,100.000,1.00
[1738/300000],0.00203,0.00294,100.000,1.00
[1739/300000],0.00304,0.00319,100.000,1.00
[1740/300000],0.00289,0.00280,100.000,1.00
[1741/300000],0.00302,0.00306,100.000,1.00
[1742/300000],0.00338,0.00309,100.000,1.00
[1743/300000],0.00315,0.00301,100.000,1.00
[1744/300000],0.00362,0.00287,100.000,1.00
[1745/300000],0.00310,0.00300,100.000,1.00
[1746/300000],0.00231,0.00290,100.000,1.00
[1747/300000],0.00291,0.00291,100.000,1.00
[1748/300000],0.00282,0.00300,100.000,1.00
[1749/300000],0.00281,0.00303,100.000,1.00
[1750/300000],0.00278,0.00306,100.000,1.00
[1751/300000],0.00278,0.00267,100.000,1.00
[1752/300000],0.00293,0.00287,100.000,1.00
[1753/300000],0.00291,0.00295,100.000,1.00
[1754/300000],0.00289,0.00290,100.000,1.00
[1755/300000],0.00475,0.00341,100.000,1.00
[1756/300000],0.00353,0.00290,100.000,1.00
[1757/300000],0.00286,0.00302,100.000,1.00
[1758/300000],0.00282,0.00306,100.000,1.00
[1759/300000],0.00290,0.00293,100.000,1.00
[1760/300000],0.00272,0.00290,100.000,1.00
[1761/300000],0.00313,0.00294,100.000,1.00
[1762/300000],0.00292,0.00285,100.000,1.00
[1763/300000],0.00283,0.00273,100.000,1.00
[1764/300000],0.00255,0.00288,100.000,1.00
[1765/300000],0.00291,0.00289,100.000,1.00
[1766/300000],0.00258,0.00300,100.000,1.00
[1767/300000],0.00281,0.00290,100.000,1.00
[1768/300000],0.00329,0.00299,100.000,1.00
[1769/300000],0.00298,0.00286,100.000,1.00
[1770/300000],0.00265,0.00296,100.000,1.00
[1771/300000],0.00282,0.00293,100.000,1.00
[1772/300000],0.00303,0.00294,100.000,1.00
[1773/300000],0.00312,0.00273,100.000,1.00
[1774/300000],0.00246,0.00290,100.000,1.00
[1775/300000],0.00261,0.00290,100.000,1.00
[1776/300000],0.00253,0.00298,100.000,1.00
[1777/300000],0.00270,0.00272,100.000,1.00
[1778/300000],0.00281,0.00294,100.000,1.00
[1779/300000],0.00244,0.00281,100.000,1.00
[1780/300000],0.00275,0.00288,100.000,1.00
[1781/300000],0.00476,0.00286,100.000,1.00
[1782/300000],0.00304,0.00290,100.000,1.00
[1783/300000],0.00253,0.00291,100.000,1.00
[1784/300000],0.00274,0.00279,100.000,1.00
[1785/300000],0.00279,0.00294,100.000,1.00
[1786/300000],0.00289,0.00287,100.000,1.00
[1787/300000],0.00278,0.00273,100.000,1.00
[1788/300000],0.00282,0.00282,100.000,1.00
[1789/300000],0.00247,0.00283,100.000,1.00
[1790/300000],0.00259,0.00283,100.000,1.00
[1791/300000],0.00266,0.00277,100.000,1.00
[1792/300000],0.00278,0.00282,100.000,1.00
[1793/300000],0.00252,0.00275,100.000,1.00
[1794/300000],0.00195,0.00280,100.000,1.00
[1795/300000],0.00267,0.00282,100.000,1.00
[1796/300000],0.00251,0.00279,100.000,1.00
[1797/300000],0.00266,0.00274,100.000,1.00
[1798/300000],0.00268,0.00273,100.000,1.00
[1799/300000],0.00272,0.00260,100.000,1.00
[1800/300000],0.00237,0.00271,100.000,1.00
[1801/300000],0.00277,0.00272,100.000,1.00
[1802/300000],0.00232,0.00273,100.000,1.00
[1803/300000],0.00243,0.00272,100.000,1.00
[1804/300000],0.00269,0.00253,100.000,1.00
[1805/300000],0.00272,0.00277,100.000,1.00
[1806/300000],0.00295,0.00255,100.000,1.00
[1807/300000],0.00224,0.00280,100.000,1.00
[1808/300000],0.00232,0.00276,100.000,1.00
[1809/300000],0.00288,0.00252,100.000,1.00
[1810/300000],0.00262,0.00276,100.000,1.00
[1811/300000],0.00236,0.00268,100.000,1.00
[1812/300000],0.00243,0.00277,100.000,1.00
[1813/300000],0.00243,0.00268,100.000,1.00
[1814/300000],0.00227,0.00269,100.000,1.00
[1815/300000],0.00294,0.00269,100.000,1.00
[1816/300000],0.00282,0.00251,100.000,1.00
[1817/300000],0.00274,0.00288,100.000,1.00
[1818/300000],0.00248,0.00244,100.000,1.00
[1819/300000],0.00246,0.00254,100.000,1.00
[1820/300000],0.00244,0.00275,100.000,1.00
[1821/300000],0.00258,0.00270,100.000,1.00
[1822/300000],0.00254,0.00266,100.000,1.00
[1823/300000],0.00249,0.00267,100.000,1.00
[1824/300000],0.00274,0.00242,100.000,1.00
[1825/300000],0.00207,0.00254,100.000,1.00
[1826/300000],0.00272,0.00275,100.000,1.00
[1827/300000],0.00257,0.00253,100.000,1.00
[1828/300000],0.00239,0.00254,100.000,1.00
[1829/300000],0.00267,0.00269,100.000,1.00
[1830/300000],0.00228,0.00255,100.000,1.00
[1831/300000],0.00247,0.00258,100.000,1.00
[1832/300000],0.00252,0.00272,100.000,1.00
[1833/300000],0.00267,0.00271,100.000,1.00
[1834/300000],0.00213,0.00271,100.000,1.00
[1835/300000],0.00221,0.00255,100.000,1.00
[1836/300000],0.00278,0.00266,100.000,1.00
[1837/300000],0.00209,0.00252,100.000,1.00
[1838/300000],0.00285,0.00251,100.000,1.00
[1839/300000],0.00276,0.00255,100.000,1.00
[1840/300000],0.00248,0.00247,100.000,1.00
[1841/300000],0.00233,0.00243,100.000,1.00
[1842/300000],0.00240,0.00262,100.000,1.00
[1843/300000],0.00258,0.00237,100.000,1.00
[1844/300000],0.00231,0.00253,100.000,1.00
[1845/300000],0.00247,0.00244,100.000,1.00
[1846/300000],0.00229,0.00262,100.000,1.00
[1847/300000],0.00233,0.00253,100.000,1.00
[1848/300000],0.00268,0.00255,100.000,1.00
[1849/300000],0.00239,0.00251,100.000,1.00
[1850/300000],0.00229,0.00249,100.000,1.00
[1851/300000],0.00258,0.00254,100.000,1.00
[1852/300000],0.00241,0.00249,100.000,1.00
[1853/300000],0.00241,0.00250,100.000,1.00
[1854/300000],0.00238,0.00254,100.000,1.00
[1855/300000],0.00240,0.00246,100.000,1.00
[1856/300000],0.00229,0.00237,100.000,1.00
[1857/300000],0.00236,0.00235,100.000,1.00
[1858/300000],0.00242,0.00259,100.000,1.00
[1859/300000],0.00324,0.00247,100.000,1.00
[1860/300000],0.00244,0.00248,100.000,1.00
[1861/300000],0.00223,0.00258,100.000,1.00
[1862/300000],0.00246,0.00251,100.000,1.00
[1863/300000],0.00244,0.00243,100.000,1.00
[1864/300000],0.00229,0.00251,100.000,1.00
[1865/300000],0.00247,0.00249,100.000,1.00
[1866/300000],0.00247,0.00240,100.000,1.00
[1867/300000],0.00227,0.00247,100.000,1.00
[1868/300000],0.00235,0.00234,100.000,1.00
[1869/300000],0.00236,0.00250,100.000,1.00
[1870/300000],0.00238,0.00251,100.000,1.00
[1871/300000],0.00247,0.00245,100.000,1.00
[1872/300000],0.00540,0.00770,99.248,0.99
[1873/300000],0.00253,0.00703,99.248,0.99
[1874/300000],0.00242,0.00477,99.248,1.00
[1875/300000],0.00235,0.00706,99.248,0.99
[1876/300000],0.00215,0.00709,99.248,0.99
[1877/300000],0.00218,0.00501,99.248,1.00
[1878/300000],0.00234,0.00456,99.248,1.00
[1879/300000],0.00237,0.00318,100.000,1.00
[1880/300000],0.00227,0.00614,100.000,1.00
[1881/300000],0.00260,0.00289,100.000,1.00
[1882/300000],0.00234,0.00287,100.000,1.00
[1883/300000],0.00239,0.00286,100.000,1.00
[1884/300000],0.00259,0.00272,100.000,1.00
[1885/300000],0.00194,0.00261,100.000,1.00
[1886/300000],0.00255,0.00270,100.000,1.00
[1887/300000],0.00236,0.00264,100.000,1.00
[1888/300000],0.00247,0.00244,100.000,1.00
[1889/300000],0.00224,0.00264,100.000,1.00
[1890/300000],0.00229,0.00257,100.000,1.00
[1891/300000],0.00216,0.00442,100.000,1.00
[1892/300000],0.00199,0.00261,100.000,1.00
[1893/300000],0.00236,0.00255,100.000,1.00
[1894/300000],0.00232,0.00263,100.000,1.00
[1895/300000],0.00220,0.00250,100.000,1.00
[1896/300000],0.00210,0.00256,100.000,1.00
[1897/300000],0.00247,0.00248,100.000,1.00
[1898/300000],0.00238,0.00262,100.000,1.00
[1899/300000],0.00220,0.00260,100.000,1.00
[1900/300000],0.00212,0.00254,100.000,1.00
[1901/300000],0.00231,0.00260,100.000,1.00
[1902/300000],0.00241,0.00262,100.000,1.00
[1903/300000],0.00221,0.00253,100.000,1.00
[1904/300000],0.00230,0.00242,100.000,1.00
[1905/300000],0.00242,0.00251,100.000,1.00
[1906/300000],0.00227,0.00255,100.000,1.00
[1907/300000],0.00211,0.00249,100.000,1.00
[1908/300000],0.00222,0.00239,100.000,1.00
[1909/300000],0.00224,0.00239,100.000,1.00
[1910/300000],0.00209,0.00253,100.000,1.00
[1911/300000],0.00219,0.00256,100.000,1.00
[1912/300000],0.00239,0.00237,100.000,1.00
[1913/300000],0.00221,0.00243,100.000,1.00
[1914/300000],0.00229,0.00253,100.000,1.00
[1915/300000],0.00195,0.00255,100.000,1.00
[1916/300000],0.00262,0.00249,100.000,1.00
[1917/300000],0.00210,0.00239,100.000,1.00
[1918/300000],0.00168,0.00257,100.000,1.00
[1919/300000],0.00214,0.00245,100.000,1.00
[1920/300000],0.00234,0.00247,100.000,1.00
[1921/300000],0.00246,0.00245,100.000,1.00
[1922/300000],0.00208,0.00240,100.000,1.00
[1923/300000],0.00215,0.00240,100.000,1.00
[1924/300000],0.18238,0.14958,93.233,0.97
[1925/300000],0.00386,0.09042,94.737,0.98
[1926/300000],0.00273,0.04309,94.737,0.98
[1927/300000],0.00266,0.00581,99.248,1.00
[1928/300000],0.00248,0.00466,100.000,1.00
[1929/300000],0.00281,0.00329,100.000,1.00
[1930/300000],0.00256,0.00289,100.000,1.00
[1931/300000],0.00226,0.00260,100.000,1.00
[1932/300000],0.00244,0.00259,100.000,1.00
[1933/300000],0.00279,0.00246,100.000,1.00
[1934/300000],0.00219,0.00233,100.000,1.00
