Iteration,Train_loss,Valid_loss,Current_accuracy,Current_norm_ED
[132/300000],1.94092,2.06400,6.015,0.43
[133/300000],1.99675,2.28746,18.797,0.51
[134/300000],2.14221,2.36924,3.008,0.25
[135/300000],2.13957,2.31377,3.759,0.40
[136/300000],2.20077,2.13599,15.038,0.45
[137/300000],2.15356,2.14063,18.797,0.48
[138/300000],2.08272,2.04295,17.293,0.48
[139/300000],1.95263,2.11108,18.045,0.49
[140/300000],2.14690,2.44131,0.000,0.37
[141/300000],2.27515,2.55279,17.293,0.48
[142/300000],2.09007,2.15614,8.271,0.49
[143/300000],2.45534,3.15807,3.759,0.33
[144/300000],1.99369,2.47485,5.263,0.39
[145/300000],2.08157,2.15121,16.541,0.49
[146/300000],2.19879,2.32210,11.278,0.48
[147/300000],1.99044,1.97529,10.526,0.52
[148/300000],1.66392,2.32203,3.759,0.42
[149/300000],1.91010,2.09627,21.053,0.46
[150/300000],2.00073,2.06321,16.541,0.49
[151/300000],1.95696,1.90191,12.030,0.42
[152/300000],1.60301,2.17813,3.759,0.40
[153/300000],2.14529,1.97814,18.045,0.50
[154/300000],2.19539,2.11285,18.797,0.51
[155/300000],2.13197,1.92273,33.835,0.60
[156/300000],1.68861,2.01510,24.060,0.54
[157/300000],1.73480,2.05336,3.759,0.51
[158/300000],2.08270,2.06643,17.293,0.47
[159/300000],1.92158,2.13060,3.759,0.52
[160/300000],1.96144,1.97952,17.293,0.50
[161/300000],1.71998,1.95489,17.293,0.51
[162/300000],1.76588,1.86980,24.060,0.58
[163/300000],1.62452,1.88100,18.045,0.58
[164/300000],1.92410,1.96561,12.030,0.55
[165/300000],2.04763,1.99687,3.759,0.47
[166/300000],1.88705,1.88639,6.015,0.37
[167/300000],1.72570,1.90862,18.045,0.51
[168/300000],2.31237,1.80786,25.564,0.62
[169/300000],1.99235,1.68912,21.053,0.53
[170/300000],1.70662,1.73475,21.805,0.62
[171/300000],1.48758,1.94970,24.812,0.56
[172/300000],1.71973,1.81595,10.526,0.56
[173/300000],1.76548,2.08994,3.759,0.51
[174/300000],2.12602,1.80747,22.556,0.53
[175/300000],1.68868,1.71651,24.812,0.61
[176/300000],1.36369,1.75927,24.812,0.54
[177/300000],1.84755,1.66737,27.068,0.60
[178/300000],1.43149,1.84491,27.820,0.66
[179/300000],2.12880,2.01768,23.308,0.56
[180/300000],2.22591,2.34841,18.045,0.56
[181/300000],2.00032,1.99020,25.564,0.57
[182/300000],1.62895,2.18988,5.263,0.41
[183/300000],1.73735,2.15487,1.504,0.39
[184/300000],1.65083,1.86042,17.293,0.56
[185/300000],1.52064,1.71976,30.075,0.61
[186/300000],1.54306,1.67600,18.045,0.64
[187/300000],1.87696,1.58289,35.338,0.68
[188/300000],1.46429,1.63432,37.594,0.68
[189/300000],1.66885,1.45840,38.346,0.71
[190/300000],1.54294,1.53355,37.594,0.73
[191/300000],1.79596,1.66745,27.068,0.60
[192/300000],1.57098,2.39793,14.286,0.41
[193/300000],1.87424,2.35669,0.000,0.31
[194/300000],1.77738,1.71222,25.564,0.66
[195/300000],0.96222,1.65226,33.083,0.61
[196/300000],1.68448,1.57300,38.346,0.73
[197/300000],1.57696,1.58241,39.098,0.74
[198/300000],1.81779,1.54818,33.835,0.75
[199/300000],1.63240,1.62003,35.338,0.67
[200/300000],1.67389,1.59029,28.571,0.66
[201/300000],1.75930,1.63587,17.293,0.61
[202/300000],1.41308,1.52726,33.835,0.65
[203/300000],1.37144,1.73935,18.797,0.60
[204/300000],1.53892,1.62046,23.308,0.66
[205/300000],1.55864,1.60431,35.338,0.68
[206/300000],1.46014,1.63071,38.346,0.75
[207/300000],1.24246,1.95596,18.045,0.57
[208/300000],2.01919,2.25457,3.759,0.49
[209/300000],1.66160,1.89079,2.256,0.51
[210/300000],1.74816,1.89201,3.759,0.55
[211/300000],1.86248,1.49848,29.323,0.71
[212/300000],1.62114,1.77030,23.308,0.65
[213/300000],2.45057,1.75035,34.586,0.65
[214/300000],1.41748,1.39646,33.835,0.69
[215/300000],1.32000,1.41643,39.850,0.71
[216/300000],1.43337,1.63984,22.556,0.66
[217/300000],1.46200,1.65374,23.308,0.64
[218/300000],1.56106,1.49830,36.090,0.72
[219/300000],1.39693,1.67540,30.827,0.61
[220/300000],1.45743,1.52450,30.827,0.67
[221/300000],1.98906,2.00436,18.045,0.54
[222/300000],1.53408,1.86290,21.805,0.57
[223/300000],1.65227,1.77525,20.301,0.65
[224/300000],1.52011,1.82661,25.564,0.67
[225/300000],1.65827,1.59505,55.639,0.74
[226/300000],1.45348,1.66304,38.346,0.71
[227/300000],1.70979,1.31287,58.647,0.79
[228/300000],1.43358,1.22716,45.113,0.78
[229/300000],1.17762,1.24513,42.857,0.77
[230/300000],1.29945,1.36964,38.346,0.73
[231/300000],1.47390,1.42705,39.850,0.77
[232/300000],1.52920,1.60986,21.805,0.68
[233/300000],1.37232,1.24700,45.113,0.79
[234/300000],1.82067,1.45993,30.075,0.71
[235/300000],1.47646,1.58541,23.308,0.67
[236/300000],1.24833,1.41058,9.023,0.62
[237/300000],1.42397,1.31634,45.865,0.80
[238/300000],1.27232,1.19194,62.406,0.82
[239/300000],1.24546,1.32594,36.842,0.78
[240/300000],1.26187,1.72903,6.015,0.58
[241/300000],1.56242,1.74014,9.023,0.68
[242/300000],1.54255,1.59031,48.872,0.72
[243/300000],1.50399,1.47611,21.805,0.72
[244/300000],1.59942,1.30142,63.910,0.82
[245/300000],1.30419,1.32644,55.639,0.83
[246/300000],1.11896,1.18109,65.414,0.80
[247/300000],1.58302,1.32472,57.895,0.77
[248/300000],1.08021,1.34284,50.376,0.77
[249/300000],1.20988,1.37019,55.639,0.79
[250/300000],1.07491,1.62880,23.308,0.71
[251/300000],1.66925,1.37885,49.624,0.79
[252/300000],1.16264,1.35756,45.113,0.80
[253/300000],1.15215,1.15162,61.654,0.83
[254/300000],1.30274,1.50269,36.842,0.75
[255/300000],1.63126,1.15550,58.647,0.81
[256/300000],1.19498,1.27872,57.895,0.82
[257/300000],1.22434,1.24843,64.662,0.85
[258/300000],1.19419,1.29897,64.662,0.84
[259/300000],1.25880,1.34820,42.857,0.78
[260/300000],1.55506,1.54862,56.391,0.80
[261/300000],1.15122,1.30990,28.571,0.74
[262/300000],1.36399,1.29864,54.135,0.81
[263/300000],1.10855,1.50844,34.586,0.63
[264/300000],1.95787,1.24223,70.677,0.85
[265/300000],1.08682,1.24063,72.180,0.84
[266/300000],1.19078,1.19202,65.414,0.85
[267/300000],1.15963,1.11021,65.414,0.84
[268/300000],1.19563,1.31424,63.158,0.84
[269/300000],1.32061,1.20240,57.895,0.82
[270/300000],1.30974,1.63931,31.579,0.69
[271/300000],1.45683,1.38732,36.842,0.76
[272/300000],0.99860,1.40050,36.842,0.75
[273/300000],1.26290,1.88948,0.000,0.41
[274/300000],1.41754,1.48430,28.571,0.71
[275/300000],1.15505,1.25350,42.857,0.73
[276/300000],1.12553,1.31821,40.602,0.71
[277/300000],1.38791,1.33493,51.880,0.80
[278/300000],1.00200,1.18558,54.887,0.82
[279/300000],1.00434,1.04211,63.910,0.84
[280/300000],1.70899,1.29417,58.647,0.83
[281/300000],1.12985,1.11528,66.917,0.84
[282/300000],1.12947,1.15979,76.692,0.86
[283/300000],1.19095,1.14069,76.692,0.85
[284/300000],1.09473,1.11675,78.195,0.87
[285/300000],1.06155,1.11704,69.925,0.85
[286/300000],1.83337,1.79958,35.338,0.59
[287/300000],1.12534,1.22329,70.677,0.80
[288/300000],1.05308,1.14984,66.917,0.81
[289/300000],1.02878,1.20388,67.669,0.83
[290/300000],1.02921,1.19820,64.662,0.83
[291/300000],1.26669,1.22237,69.925,0.85
[292/300000],1.17348,1.26940,50.376,0.80
[293/300000],1.13946,1.24426,39.850,0.81
[294/300000],1.30340,1.16908,57.143,0.83
[295/300000],1.11958,1.24968,59.398,0.83
[296/300000],0.90164,1.11282,58.647,0.81
[297/300000],1.05948,1.33772,39.098,0.79
[298/300000],1.19691,1.04273,70.677,0.84
[299/300000],0.43771,1.00382,77.444,0.86
[300/300000],1.04612,1.02499,69.925,0.85
[301/300000],0.91015,1.15292,63.158,0.85
[302/300000],0.80154,1.18480,45.113,0.81
[303/300000],1.41960,1.20339,65.414,0.83
[304/300000],1.15906,1.28433,69.173,0.84
[305/300000],1.04904,1.12561,69.925,0.86
[306/300000],0.84649,2.11126,43.609,0.64
[307/300000],1.23789,1.04700,75.188,0.86
[308/300000],1.07254,0.92613,75.188,0.86
[309/300000],0.92339,1.26517,48.120,0.71
[310/300000],0.85301,1.58821,37.594,0.69
[311/300000],1.07950,1.47123,51.128,0.75
[312/300000],1.98754,1.44638,63.158,0.82
[313/300000],0.88893,1.36324,57.895,0.79
[314/300000],1.04082,1.02907,56.391,0.81
[315/300000],1.08658,1.13685,47.368,0.79
[316/300000],0.94180,1.30545,51.128,0.79
[317/300000],0.92800,1.49647,48.872,0.74
[318/300000],0.95090,1.47347,57.895,0.78
[319/300000],1.06474,1.42594,46.617,0.79
[320/300000],1.24385,1.06230,66.917,0.83
[321/300000],1.27870,1.45651,65.414,0.84
[322/300000],1.18771,1.00414,62.406,0.82
[323/300000],0.92793,1.00186,55.639,0.83
[324/300000],1.09416,1.59387,51.880,0.72
[325/300000],2.53348,1.69510,51.880,0.74
[326/300000],1.05770,1.43369,58.647,0.80
[327/300000],1.07756,1.29239,56.391,0.79
[328/300000],0.99429,1.24054,60.150,0.82
[329/300000],1.34746,0.96806,78.195,0.87
[330/300000],0.90254,0.99100,78.195,0.86
[331/300000],0.91709,0.98899,78.947,0.88
[332/300000],1.31997,0.92502,75.940,0.87
[333/300000],0.67312,1.00903,78.195,0.88
[334/300000],0.83089,0.99758,78.195,0.87
[335/300000],1.06380,1.04201,71.429,0.86
[336/300000],0.81822,1.08797,54.887,0.80
[337/300000],0.85113,1.08939,67.669,0.83
[338/300000],0.48085,1.16368,58.647,0.82
[339/300000],0.91413,1.09734,69.925,0.86
[340/300000],0.66953,0.99826,66.165,0.86
[341/300000],0.99063,1.10942,76.692,0.87
[342/300000],1.06754,1.06366,56.391,0.83
[343/300000],1.06500,1.35098,67.669,0.82
[344/300000],1.01703,1.03268,78.947,0.88
[345/300000],1.08434,0.90764,67.669,0.87
[346/300000],0.71220,0.95482,78.947,0.88
[347/300000],0.87711,0.92916,78.195,0.87
[348/300000],0.92081,0.97442,74.436,0.89
[349/300000],1.02627,0.97296,72.932,0.86
[350/300000],0.75418,1.06550,69.925,0.85
[351/300000],0.75712,1.06119,75.188,0.87
[352/300000],0.61984,0.79155,78.947,0.89
[353/300000],0.69974,0.95472,78.195,0.88
[354/300000],1.13098,0.94734,68.421,0.85
[355/300000],0.76849,1.24536,51.128,0.84
[356/300000],0.95852,1.06013,49.624,0.86
[357/300000],0.98055,1.04551,61.654,0.85
[358/300000],1.06510,0.91125,69.173,0.87
[359/300000],1.06416,1.01574,79.699,0.90
[360/300000],0.94137,0.77218,72.932,0.90
[361/300000],0.98504,0.90229,75.188,0.88
[362/300000],1.13266,0.84082,78.947,0.91
[363/300000],0.86275,0.93865,79.699,0.87
[364/300000],0.26838,0.83949,71.429,0.86
[365/300000],1.06112,1.01055,69.173,0.87
[366/300000],0.83930,0.80546,72.932,0.86
[367/300000],0.99399,0.89530,78.947,0.89
[368/300000],0.83749,0.82822,79.699,0.91
[369/300000],0.69870,0.71352,78.195,0.91
[370/300000],0.75307,0.83304,72.180,0.89
[371/300000],0.72037,1.07555,56.391,0.85
[372/300000],0.77592,1.15074,50.376,0.86
[373/300000],0.87295,1.00598,61.654,0.88
[374/300000],0.75373,1.01517,62.406,0.88
[375/300000],1.25713,0.99692,72.180,0.88
[376/300000],0.75392,0.99254,78.195,0.90
[377/300000],1.30621,1.12417,70.677,0.82
[378/300000],0.89603,0.85234,75.940,0.87
[379/300000],0.76753,0.74881,73.684,0.88
[380/300000],0.69833,0.80193,73.684,0.89
[381/300000],0.76309,0.81568,75.940,0.89
[382/300000],0.74849,0.70677,76.692,0.88
[383/300000],0.49092,1.18431,63.158,0.84
[384/300000],0.77335,1.08207,69.925,0.84
[385/300000],0.93323,1.18347,61.654,0.85
[386/300000],1.01685,0.89655,72.180,0.90
[387/300000],0.80598,0.89987,68.421,0.88
[388/300000],0.81372,0.91600,79.699,0.90
[389/300000],0.88722,0.95852,72.180,0.88
[390/300000],0.87776,0.83417,63.158,0.87
[391/300000],1.21141,1.00139,61.654,0.87
[392/300000],0.60547,1.17347,45.113,0.85
[393/300000],0.70848,0.78161,71.429,0.88
[394/300000],0.61369,0.80285,72.180,0.90
[395/300000],0.89743,0.83205,78.947,0.90
[396/300000],0.61183,0.88778,78.947,0.93
[397/300000],0.62057,0.70220,78.947,0.90
[398/300000],0.72860,0.76658,78.947,0.90
[399/300000],0.70311,0.71005,79.699,0.92
[400/300000],0.58630,0.68249,78.947,0.91
[401/300000],1.06149,0.87377,78.947,0.87
[402/300000],0.59326,0.85246,76.692,0.90
[403/300000],0.32987,0.77371,78.195,0.92
[404/300000],0.64353,0.80672,77.444,0.89
[405/300000],0.56848,0.87288,66.917,0.88
[406/300000],0.62450,0.67928,78.195,0.89
[407/300000],0.86004,1.05194,69.173,0.89
[408/300000],0.67773,0.85899,69.925,0.87
[409/300000],0.70101,1.72611,53.383,0.76
[410/300000],1.30748,1.45838,63.158,0.83
[411/300000],0.66651,1.00905,66.165,0.85
[412/300000],0.72742,0.86152,78.195,0.87
[413/300000],1.24638,0.81218,78.947,0.88
[414/300000],0.78650,0.93535,72.180,0.88
[415/300000],0.88889,0.89329,72.932,0.90
[416/300000],1.10024,0.89822,78.947,0.87
[417/300000],0.66656,0.67570,79.699,0.90
[418/300000],0.87195,0.81430,78.947,0.88
[419/300000],0.67636,0.76798,78.195,0.92
[420/300000],0.77272,0.63067,78.195,0.91
[421/300000],0.79130,0.78748,74.436,0.91
[422/300000],0.84039,0.72499,79.699,0.92
[423/300000],0.51276,0.66763,79.699,0.92
[424/300000],0.56904,0.64451,79.699,0.92
[425/300000],0.67212,0.80214,79.699,0.92
[426/300000],0.69629,0.69260,75.188,0.91
[427/300000],0.62264,0.91018,78.947,0.93
[428/300000],0.47739,0.79276,78.947,0.90
[429/300000],0.72146,0.89728,56.391,0.85
[430/300000],0.59005,0.99045,62.406,0.80
[431/300000],0.51376,0.60081,75.940,0.91
[432/300000],0.67926,0.68302,81.955,0.93
[433/300000],0.55401,0.56258,84.211,0.94
[434/300000],0.73579,0.55402,78.947,0.92
[435/300000],0.71405,0.69270,72.180,0.94
[436/300000],0.45005,0.67410,72.180,0.94
[437/300000],0.68362,0.78191,79.699,0.93
[438/300000],0.55975,0.68784,72.180,0.91
[439/300000],0.66312,0.64498,78.947,0.91
[440/300000],0.51939,0.85374,76.692,0.92
[441/300000],0.75104,0.76946,79.699,0.93
[442/300000],0.84741,1.02079,70.677,0.93
[443/300000],0.56335,0.73066,72.180,0.92
[444/300000],0.69478,0.74214,72.180,0.94
[445/300000],0.56897,0.88312,72.180,0.90
[446/300000],0.55315,0.74625,71.429,0.89
[447/300000],0.67587,0.77563,71.429,0.91
[448/300000],0.66160,0.88112,71.429,0.91
[449/300000],0.62325,0.90877,75.940,0.89
[450/300000],0.74843,0.59678,84.962,0.94
[451/300000],0.70664,0.57229,78.195,0.94
[452/300000],0.52902,0.61160,78.195,0.93
[453/300000],0.53957,0.57080,79.699,0.94
[454/300000],0.53924,0.57554,78.947,0.93
[455/300000],1.38313,0.57458,78.947,0.93
[456/300000],0.45582,0.80929,69.925,0.85
[457/300000],0.51765,0.60632,83.459,0.96
[458/300000],0.48452,0.59462,84.211,0.95
[459/300000],0.42004,0.53218,84.211,0.96
[460/300000],0.61745,0.56292,84.211,0.93
[461/300000],0.52581,0.55092,83.459,0.94
[462/300000],0.40545,0.59946,78.947,0.93
[463/300000],0.64228,0.68056,78.947,0.89
[464/300000],0.57364,0.76771,78.947,0.92
[465/300000],0.51266,0.50695,78.947,0.96
[466/300000],0.58508,0.49376,84.962,0.98
[467/300000],0.46833,0.58538,78.947,0.97
[468/300000],0.87830,0.50753,76.692,0.95
[469/300000],0.33916,0.54050,84.211,0.94
